item_id,price_int,game_age,review_nums,genre
7830,5,7,7,Strategy
97330,10,4,7,Strategy
108710,30,4,7,Action
209000,20,3,7,Action
72850,20,5,7,RPG
12220,20,6,5,Action
223830,25,2,7,Indie
255710,30,1,7,Simulation
237110,20,3,7,Action
238460,15,2,8,Action
244210,45,2,7,Indie
259060,35,3,7,Indie
17460,20,8,7,Action
25890,10,7,7,Strategy
22380,10,6,8,Action
220260,20,3,7,Casual
64000,10,5,7,Strategy
7940,20,9,7,Action
12200,15,8,7,Action
346010,8,1,8,Indie
239820,10,3,8,Casual
8190,15,6,7,Action
26800,15,7,7,Casual
49520,20,4,8,Action
427520,20,0,8,Casual
20,5,17,7,Action
271590,60,1,7,Action
8500,20,13,7,Massively
219640,25,4,7,Action
313160,25,2,7,Simulation
24740,20,7,7,Racing
244850,25,3,7,Action
4760,10,12,7,Strategy
220240,20,4,7,Action
359550,60,1,5,Action
2700,20,10,7,Simulation
10680,15,6,7,Action
242860,25,1,7,Action
225600,10,2,5,Action
3910,5,15,7,Strategy
200900,15,5,8,Action
287700,60,1,7,Action
17410,20,7,7,Action
289130,30,2,7,Indie
268650,20,2,7,Action
41500,15,7,7,RPG
278080,50,2,7,Action
18500,10,8,8,Indie
50300,30,4,7,Action
239140,60,1,7,Action
237930,20,2,8,Action
300550,15,2,7,Adventure
9480,10,7,5,Action
33910,13,7,7,Action
306130,60,2,5,Massively
233450,30,1,7,Indie
239350,15,3,7,Indie
240760,40,2,7,Adventure
3590,5,7,8,Strategy
98200,25,5,7,Indie
47890,20,7,7,Simulation
41070,40,5,7,Action
233130,40,3,8,Action
333600,10,2,8,Casual
24780,20,13,5,Simulation
91600,10,5,7,Action
92800,10,5,7,Casual
32370,10,13,7,RPG
4560,20,10,8,Action
33930,20,6,7,Action
207140,15,0,7,Action
248390,19,2,7,Indie
245620,25,2,5,RPG
224500,15,0,7,Indie
107200,10,5,7,Action
249130,20,3,7,Action
17450,20,7,7,RPG
41010,20,6,6,Action
2820,16,8,7,Action
20920,20,5,7,RPG
22300,10,8,7,RPG
311340,20,2,7,Action
12750,15,8,7,Racing
250320,25,3,8,Adventure
231430,35,3,5,Strategy
234140,60,1,7,Action
4000,10,10,8,Indie
48700,20,6,8,Action
17470,20,8,7,Action
227320,60,4,7,Accounting
113020,15,3,7,Action
265930,10,2,7,Casual
9450,13,8,7,Strategy
322330,15,2,8,Adventure
6860,9,10,7,Action
377160,60,1,7,RPG
282070,20,2,8,Adventure
22320,20,14,8,RPG
239070,10,3,7,Action
24980,20,6,8,RPG
250340,10,9,5,Action
42910,50,5,7,Action
220160,20,3,5,Action
219890,20,3,8,Adventure
210770,15,3,7,Action
227300,23,3,8,Indie
12120,15,11,7,Action
391220,60,0,7,Action
219150,10,4,8,Action
211420,20,4,7,Action
238090,50,2,7,Action
550,20,7,8,Action
3830,10,11,8,Action
249050,12,2,7,Adventure
220440,30,3,7,Action
200170,15,4,7,Strategy
235600,30,3,7,Action
8850,20,6,7,Action
394510,20,1,7,Action
110800,20,5,7,Adventure
212480,20,3,8,Racing
282350,60,2,5,Sports
10180,20,7,7,Action
9340,20,9,7,Action
57300,20,6,8,Action
44350,30,3,7,Racing
268500,60,0,5,Strategy
282900,30,1,8,RPG
218620,20,3,5,Action
242050,30,3,7,Action
239030,10,3,8,Adventure
39150,12,3,7,RPG
208140,30,4,7,Indie
244450,30,2,7,Action
9420,15,5,8,Strategy
230230,40,2,7,Adventure
45740,20,6,5,Action
252950,20,1,7,Action
71340,30,5,7,Action
264140,10,1,5,Adventure
